"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"20","GO:0030593","neutrophil chemotaxis",87,2,0.28,46,"0.01674","0.03292","CXCR2,S100A8"
"21","GO:1990266","neutrophil migration",98,2,0.32,67,"0.02094","0.04089","CXCR2,S100A8"
"22","GO:0060326","cell chemotaxis",261,3,0.85,106,"0.02137","0.05378","CXCR2,DEFB4A,S100A8"
"23","GO:0051561","positive regulation of mitochondrial calcium ion concentration",10,1,0.03,35,"0.02255","0.03224","ATP2A1"
"24","GO:0007135","meiosis II",10,1,0.03,36,"0.02255","0.03224","HORMAD2"
"25","GO:2001198","regulation of dendritic cell differentiation",10,1,0.03,37,"0.02255","0.03224","HLA-G"
"26","GO:0002523","leukocyte migration involved in inflammatory response",10,1,0.03,38,"0.02255","0.03224","S100A8"
"27","GO:0014891","striated muscle atrophy",10,1,0.03,39,"0.02255","0.03224","ACTN3"
"28","GO:0014894","response to denervation involved in regulation of muscle adaptation",10,1,0.03,40,"0.02255","0.03224","ACTN3"
"29","GO:0014877","response to muscle inactivity involved in regulation of muscle adaptation",10,1,0.03,41,"0.02255","0.03224","ACTN3"
"30","GO:0061983","meiosis II cell cycle process",10,1,0.03,42,"0.02255","0.03224","HORMAD2"
"31","GO:1904321","response to forskolin",10,1,0.03,43,"0.02255","0.03224","AHR"
"32","GO:1904322","cellular response to forskolin",10,1,0.03,44,"0.02255","0.03224","AHR"
"33","GO:0072173","metanephric tubule morphogenesis",10,1,0.03,45,"0.02255","0.03224","CXCR2"
"34","GO:0071621","granulocyte chemotaxis",106,2,0.35,95,"0.02424","0.04709","CXCR2,S100A8"
"35","GO:0032096","negative regulation of response to food",11,1,0.04,47,"0.02478","0.03540","NPFF"
"36","GO:0032099","negative regulation of appetite",11,1,0.04,48,"0.02478","0.03540","NPFF"
"37","GO:0032060","bleb assembly",11,1,0.04,49,"0.02478","0.03540","EMP1"
"38","GO:0071688","striated muscle myosin thick filament assembly",11,1,0.04,50,"0.02478","0.03540","MYBPC2"
"39","GO:1902514","regulation of calcium ion transmembrane transport via high voltage-gated calcium channel",11,1,0.04,51,"0.02478","0.03540","CACNG1"
"40","GO:0061478","response to platelet aggregation inhibitor",11,1,0.04,52,"0.02478","0.03540","AHR"
"41","GO:0002517","T cell tolerance induction",11,1,0.04,53,"0.02478","0.03540","HLA-G"
"42","GO:0051657","maintenance of organelle location",11,1,0.04,54,"0.02478","0.03540","ATP2A1"
"43","GO:0014870","response to muscle inactivity",11,1,0.04,55,"0.02478","0.03540","ACTN3"
"44","GO:0015671","oxygen transport",11,1,0.04,56,"0.02478","0.03540","HBQ1"
"45","GO:0030241","skeletal muscle myosin thick filament assembly",11,1,0.04,57,"0.02478","0.03540","MYBPC2"
"46","GO:0006069","ethanol oxidation",11,1,0.04,58,"0.02478","0.03540","ADH1C"
"47","GO:0017144","drug metabolic process",740,5,2.42,182,"0.02540","0.09362","ACTN3,ADH1C,HBQ1,MAT1A,MYH4"
"48","GO:0002475","antigen processing and presentation via MHC class Ib",12,1,0.04,59,"0.02700","0.03856","HLA-G"
"49","GO:0031034","myosin filament assembly",12,1,0.04,60,"0.02700","0.03856","MYBPC2"
"50","GO:0045820","negative regulation of glycolytic process",12,1,0.04,61,"0.02700","0.03856","ACTN3"
"51","GO:0045591","positive regulation of regulatory T cell differentiation",12,1,0.04,62,"0.02700","0.03856","HLA-G"
"52","GO:0070486","leukocyte aggregation",12,1,0.04,63,"0.02700","0.03856","S100A8"
"53","GO:0010663","positive regulation of striated muscle cell apoptotic process",12,1,0.04,64,"0.02700","0.03856","CXCR2"
"54","GO:0010666","positive regulation of cardiac muscle cell apoptotic process",12,1,0.04,65,"0.02700","0.03856","CXCR2"
"55","GO:0051198","negative regulation of coenzyme metabolic process",13,1,0.04,68,"0.02922","0.04171","ACTN3"
"56","GO:0031033","myosin filament organization",13,1,0.04,69,"0.02922","0.04171","MYBPC2"
"57","GO:0030812","negative regulation of nucleotide catabolic process",13,1,0.04,70,"0.02922","0.04171","ACTN3"
"58","GO:0017014","protein nitrosylation",13,1,0.04,71,"0.02922","0.04171","S100A8"
"59","GO:0014889","muscle atrophy",13,1,0.04,72,"0.02922","0.04171","ACTN3"
"60","GO:0051238","sequestering of metal ion",13,1,0.04,73,"0.02922","0.04171","S100A8"
"61","GO:0032105","negative regulation of response to extracellular stimulus",13,1,0.04,74,"0.02922","0.04171","NPFF"
"62","GO:0032108","negative regulation of response to nutrient levels",13,1,0.04,75,"0.02922","0.04171","NPFF"
"63","GO:0061577","calcium ion transmembrane transport via high voltage-gated calcium channel",13,1,0.04,76,"0.02922","0.04171","CACNG1"
"64","GO:0018119","peptidyl-cysteine S-nitrosylation",13,1,0.04,77,"0.02922","0.04171","S100A8"
"65","GO:0045989","positive regulation of striated muscle contraction",13,1,0.04,78,"0.02922","0.04171","ATP2A1"
"66","GO:0046500","S-adenosylmethionine metabolic process",13,1,0.04,79,"0.02922","0.04171","MAT1A"
"67","GO:0070885","negative regulation of calcineurin-NFAT signaling cascade",13,1,0.04,80,"0.02922","0.04171","ACTN3"
"68","GO:0006089","lactate metabolic process",13,1,0.04,81,"0.02922","0.04171","ACTN3"
"69","GO:0106057","negative regulation of calcineurin-mediated signaling",13,1,0.04,82,"0.02922","0.04171","ACTN3"
"70","GO:0097530","granulocyte migration",120,2,0.39,116,"0.03049","0.05871","CXCR2,S100A8"
"71","GO:0002483","antigen processing and presentation of endogenous peptide antigen",14,1,0.05,89,"0.03143","0.04484","HLA-G"
"72","GO:1900029","positive regulation of ruffle assembly",14,1,0.05,90,"0.03143","0.04484","FAM98A"
"73","GO:0000098","sulfur amino acid catabolic process",14,1,0.05,91,"0.03143","0.04484","MAT1A"
"74","GO:0014733","regulation of skeletal muscle adaptation",14,1,0.05,92,"0.03143","0.04484","ACTN3"
"75","GO:0014854","response to inactivity",14,1,0.05,93,"0.03143","0.04484","ACTN3"
"76","GO:0030240","skeletal muscle thin filament assembly",14,1,0.05,94,"0.03143","0.04484","MYBPC2"
"77","GO:0001906","cell killing",124,2,0.41,124,"0.03238","0.06220","DEFB4A,HLA-G"
"78","GO:0060048","cardiac muscle contraction",125,2,0.41,125,"0.03286","0.06308","TNNI2,TNNT3"
"79","GO:0051186","cofactor metabolic process",536,4,1.75,192,"0.03291","0.09785","ACTN3,GSTT2B,HBQ1,MAT1A"
"80","GO:0033033","negative regulation of myeloid cell apoptotic process",15,1,0.05,97,"0.03364","0.04797","CXCR2"
"81","GO:2001170","negative regulation of ATP biosynthetic process",15,1,0.05,98,"0.03364","0.04797","ACTN3"
"82","GO:0002643","regulation of tolerance induction",15,1,0.05,99,"0.03364","0.04797","HLA-G"
"83","GO:0015669","gas transport",15,1,0.05,100,"0.03364","0.04797","HBQ1"
"84","GO:0001780","neutrophil homeostasis",15,1,0.05,101,"0.03364","0.04797","CXCR2"
"85","GO:0008219","cell death",2022,9,6.61,348,"0.03483","0.21068","ACTN3,AHR,ATP2A1,CXCR2,EMP1,RYBP,S100A8,TCTN3,ZSWIM2"
"86","GO:0051480","regulation of cytosolic calcium ion concentration",316,3,1.03,166,"0.03490","0.08454","CXCR2,NPFF,PVALB"
"87","GO:0032095","regulation of response to food",16,1,0.05,102,"0.03584","0.05109","NPFF"
"88","GO:0032098","regulation of appetite",16,1,0.05,103,"0.03584","0.05109","NPFF"
"89","GO:0014866","skeletal myofibril assembly",16,1,0.05,104,"0.03584","0.05109","MYBPC2"
"90","GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors",16,1,0.05,105,"0.03584","0.05109","ZSWIM2"
"91","GO:0006555","methionine metabolic process",17,1,0.06,107,"0.03804","0.05419","MAT1A"
"92","GO:0019883","antigen processing and presentation of endogenous antigen",17,1,0.06,108,"0.03804","0.05419","HLA-G"
"93","GO:0048739","cardiac muscle fiber development",17,1,0.06,109,"0.03804","0.05419","MYBPC2"
"94","GO:0035518","histone H2A monoubiquitination",17,1,0.06,110,"0.03804","0.05419","RYBP"
"95","GO:0030809","negative regulation of nucleotide biosynthetic process",17,1,0.06,111,"0.03804","0.05419","ACTN3"
"96","GO:0014874","response to stimulus involved in regulation of muscle adaptation",17,1,0.06,112,"0.03804","0.05419","ACTN3"
"97","GO:1900372","negative regulation of purine nucleotide biosynthetic process",17,1,0.06,113,"0.03804","0.05419","ACTN3"
"98","GO:0002544","chronic inflammatory response",18,1,0.06,114,"0.04024","0.05729","S100A8"
"99","GO:0051197","positive regulation of coenzyme metabolic process",19,1,0.06,117,"0.04242","0.06038","ACTN3"
"100","GO:0002407","dendritic cell chemotaxis",19,1,0.06,118,"0.04242","0.06038","CXCR2"
"101","GO:0030813","positive regulation of nucleotide catabolic process",19,1,0.06,119,"0.04242","0.06038","ACTN3"
"102","GO:1901685","glutathione derivative metabolic process",19,1,0.06,120,"0.04242","0.06038","GSTT2B"
"103","GO:1901687","glutathione derivative biosynthetic process",19,1,0.06,121,"0.04242","0.06038","GSTT2B"
"104","GO:0009068","aspartate family amino acid catabolic process",19,1,0.06,122,"0.04242","0.06038","MAT1A"
"105","GO:0016999","antibiotic metabolic process",144,2,0.47,157,"0.04250","0.08061","ADH1C,HBQ1"
"106","GO:0051195","negative regulation of cofactor metabolic process",20,1,0.07,126,"0.04461","0.06345","ACTN3"
"107","GO:0044872","lipoprotein localization",20,1,0.07,127,"0.04461","0.06345","CTAGE9"
"108","GO:0042953","lipoprotein transport",20,1,0.07,128,"0.04461","0.06345","CTAGE9"
"109","GO:0006067","ethanol metabolic process",20,1,0.07,129,"0.04461","0.06345","ADH1C"
"110","GO:0006915","apoptotic process",1792,8,5.86,371,"0.04592","0.22802","ACTN3,AHR,ATP2A1,CXCR2,RYBP,S100A8,TCTN3,ZSWIM2"
"111","GO:0006925","inflammatory cell apoptotic process",21,1,0.07,131,"0.04679","0.06652","CXCR2"
"112","GO:0045822","negative regulation of heart contraction",21,1,0.07,132,"0.04679","0.06652","NPFF"
"113","GO:0002082","regulation of oxidative phosphorylation",22,1,0.07,133,"0.04896","0.06958","ACTN3"
"114","GO:0032469","endoplasmic reticulum calcium ion homeostasis",22,1,0.07,134,"0.04896","0.06958","ATP2A1"
"115","GO:0001916","positive regulation of T cell mediated cytotoxicity",22,1,0.07,135,"0.04896","0.06958","HLA-G"
"116","GO:0032104","regulation of response to extracellular stimulus",22,1,0.07,136,"0.04896","0.06958","NPFF"
"117","GO:0032107","regulation of response to nutrient levels",22,1,0.07,137,"0.04896","0.06958","NPFF"
"118","GO:0090023","positive regulation of neutrophil chemotaxis",22,1,0.07,138,"0.04896","0.06958","CXCR2"
"119","GO:0036336","dendritic cell migration",22,1,0.07,139,"0.04896","0.06958","CXCR2"
"120","GO:0072170","metanephric tubule development",22,1,0.07,140,"0.04896","0.06958","CXCR2"
"121","GO:0051560","mitochondrial calcium ion homeostasis",23,1,0.08,141,"0.05113","0.07262","ATP2A1"
"122","GO:1903579","negative regulation of ATP metabolic process",23,1,0.08,142,"0.05113","0.07262","ACTN3"
"123","GO:0002507","tolerance induction",23,1,0.08,143,"0.05113","0.07262","HLA-G"
"124","GO:0048643","positive regulation of skeletal muscle tissue development",24,1,0.08,144,"0.05329","0.07566","ACTN3"
"125","GO:0051194","positive regulation of cofactor metabolic process",24,1,0.08,145,"0.05329","0.07566","ACTN3"
"126","GO:0071624","positive regulation of granulocyte chemotaxis",24,1,0.08,146,"0.05329","0.07566","CXCR2"
"127","GO:0043457","regulation of cellular respiration",24,1,0.08,147,"0.05329","0.07566","ACTN3"
"128","GO:0006730","one-carbon metabolic process",24,1,0.08,148,"0.05329","0.07566","MAT1A"
"129","GO:2001235","positive regulation of apoptotic signaling pathway",164,2,0.54,199,"0.05364","0.10048","S100A8,ZSWIM2"
"130","GO:0050832","defense response to fungus",25,1,0.08,149,"0.05545","0.07869","S100A8"
"131","GO:0072207","metanephric epithelium development",25,1,0.08,150,"0.05545","0.07869","CXCR2"
"132","GO:0015012","heparan sulfate proteoglycan biosynthetic process",25,1,0.08,151,"0.05545","0.07869","HS6ST3"
"133","GO:1900543","negative regulation of purine nucleotide metabolic process",25,1,0.08,152,"0.05545","0.07869","ACTN3"
"134","GO:1902624","positive regulation of neutrophil migration",25,1,0.08,153,"0.05545","0.07869","CXCR2"
"135","GO:0033522","histone H2A ubiquitination",25,1,0.08,154,"0.05545","0.07869","RYBP"
"136","GO:0043501","skeletal muscle adaptation",25,1,0.08,155,"0.05545","0.07869","ACTN3"
"137","GO:0035459","cargo loading into vesicle",25,1,0.08,156,"0.05545","0.07869","CTAGE9"
"138","GO:0002479","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",26,1,0.09,159,"0.05761","0.08171","HLA-G"
"139","GO:0090075","relaxation of muscle",26,1,0.09,160,"0.05761","0.08171","ATP2A1"
"140","GO:0045980","negative regulation of nucleotide metabolic process",26,1,0.09,161,"0.05761","0.08171","ACTN3"
"141","GO:0045589","regulation of regulatory T cell differentiation",26,1,0.09,162,"0.05761","0.08171","HLA-G"
"142","GO:0055003","cardiac myofibril assembly",26,1,0.09,163,"0.05761","0.08171","MYBPC2"
"143","GO:0010661","positive regulation of muscle cell apoptotic process",26,1,0.09,164,"0.05761","0.08171","CXCR2"
"144","GO:0019932","second-messenger-mediated signaling",390,3,1.28,246,"0.05865","0.13510","ACTN3,AHR,CXCR2"
"145","GO:0090022","regulation of neutrophil chemotaxis",27,1,0.09,167,"0.05976","0.08471","CXCR2"
"146","GO:0012501","programmed cell death",1895,8,6.2,462,"0.06044","0.27642","ACTN3,AHR,ATP2A1,CXCR2,RYBP,S100A8,TCTN3,ZSWIM2"
"147","GO:0097529","myeloid leukocyte migration",177,2,0.58,210,"0.06137","0.11406","CXCR2,S100A8"
"148","GO:0043278","response to morphine",28,1,0.09,169,"0.06190","0.08771","NPFF"
"149","GO:1900027","regulation of ruffle assembly",28,1,0.09,170,"0.06190","0.08771","FAM98A"
"150","GO:0050849","negative regulation of calcium-mediated signaling",28,1,0.09,171,"0.06190","0.08771","ACTN3"
"151","GO:0001569","branching involved in blood vessel morphogenesis",28,1,0.09,172,"0.06190","0.08771","FKBPL"
"152","GO:0033032","regulation of myeloid cell apoptotic process",28,1,0.09,173,"0.06190","0.08771","CXCR2"
"153","GO:0042744","hydrogen peroxide catabolic process",28,1,0.09,174,"0.06190","0.08771","HBQ1"
"154","GO:0045066","regulatory T cell differentiation",28,1,0.09,175,"0.06190","0.08771","HLA-G"
"155","GO:0014072","response to isoquinoline alkaloid",28,1,0.09,176,"0.06190","0.08771","NPFF"
"156","GO:0042572","retinol metabolic process",28,1,0.09,177,"0.06190","0.08771","RDH12"
"157","GO:0044272","sulfur compound biosynthetic process",178,2,0.58,216,"0.06198","0.11512","GSTT2B,MAT1A"
"158","GO:0010390","histone monoubiquitination",29,1,0.09,178,"0.06404","0.09070","RYBP"
"159","GO:1903523","negative regulation of blood circulation",29,1,0.09,179,"0.06404","0.09070","NPFF"
"160","GO:0001914","regulation of T cell mediated cytotoxicity",29,1,0.09,180,"0.06404","0.09070","HLA-G"
"161","GO:0045777","positive regulation of blood pressure",30,1,0.1,183,"0.06618","0.09368","NPFF"
"162","GO:1902622","regulation of neutrophil migration",30,1,0.1,184,"0.06618","0.09368","CXCR2"
"163","GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I",30,1,0.1,185,"0.06618","0.09368","HLA-G"
"164","GO:0043114","regulation of vascular permeability",30,1,0.1,186,"0.06618","0.09368","CXCR2"
"165","GO:0010665","regulation of cardiac muscle cell apoptotic process",30,1,0.1,187,"0.06618","0.09368","CXCR2"
"166","GO:0006959","humoral immune response",185,2,0.61,222,"0.06631","0.12264","DEFB4A,S100A8"
"167","GO:0006007","glucose catabolic process",31,1,0.1,188,"0.06831","0.09665","ACTN3"
"168","GO:0032094","response to food",31,1,0.1,189,"0.06831","0.09665","NPFF"
"169","GO:0030201","heparan sulfate proteoglycan metabolic process",31,1,0.1,190,"0.06831","0.09665","HS6ST3"
"170","GO:0032735","positive regulation of interleukin-12 production",31,1,0.1,191,"0.06831","0.09665","HLA-G"
"171","GO:0033028","myeloid cell apoptotic process",32,1,0.1,193,"0.07043","0.09961","CXCR2"
"172","GO:0070296","sarcoplasmic reticulum calcium ion transport",32,1,0.1,194,"0.07043","0.09961","CACNG1"
"173","GO:0014002","astrocyte development",32,1,0.1,195,"0.07043","0.09961","S100A8"
"174","GO:0070884","regulation of calcineurin-NFAT signaling cascade",32,1,0.1,196,"0.07043","0.09961","ACTN3"
"175","GO:0106056","regulation of calcineurin-mediated signaling",32,1,0.1,197,"0.07043","0.09961","ACTN3"
"176","GO:0010662","regulation of striated muscle cell apoptotic process",32,1,0.1,198,"0.07043","0.09961","CXCR2"
"177","GO:0050670","regulation of lymphocyte proliferation",192,2,0.63,238,"0.07074","0.13027","AHR,HLA-G"
"178","GO:0030595","leukocyte chemotaxis",193,2,0.63,239,"0.07138","0.13137","CXCR2,S100A8"
"179","GO:0032944","regulation of mononuclear cell proliferation",193,2,0.63,240,"0.07138","0.13137","AHR,HLA-G"
"180","GO:0010659","cardiac muscle cell apoptotic process",33,1,0.11,200,"0.07256","0.10256","CXCR2"
"181","GO:0051930","regulation of sensory perception of pain",33,1,0.11,201,"0.07256","0.10256","NPFF"
"182","GO:0006882","cellular zinc ion homeostasis",33,1,0.11,202,"0.07256","0.10256","S100A8"
"183","GO:0008016","regulation of heart contraction",195,2,0.64,244,"0.07267","0.13358","ATP2A1,NPFF"
"184","GO:1903580","positive regulation of ATP metabolic process",34,1,0.11,203,"0.07467","0.10550","ACTN3"
"185","GO:0032435","negative regulation of proteasomal ubiquitin-dependent protein catabolic process",34,1,0.11,204,"0.07467","0.10550","RYBP"
"186","GO:0051931","regulation of sensory perception",34,1,0.11,205,"0.07467","0.10550","NPFF"
"187","GO:0070663","regulation of leukocyte proliferation",199,2,0.65,251,"0.07527","0.13801","AHR,HLA-G"
"188","GO:0019722","calcium-mediated signaling",199,2,0.65,252,"0.07527","0.13801","ACTN3,CXCR2"
"189","GO:0010658","striated muscle cell apoptotic process",35,1,0.11,206,"0.07678","0.10843","CXCR2"
"190","GO:0055069","zinc ion homeostasis",35,1,0.11,207,"0.07678","0.10843","S100A8"
"191","GO:0008150","biological_process",15554,39,50.87,1211,"0.07771","1.00000","ACTN3,ADH1C,AHR,ATP2A1,CACNG1,CTAGE9,CXCR2,DEFB4A,ELL2,EMP1,FAM98A,FKBPL,GSTT2B,HBQ1,HLA-G,HORMAD2,HS6ST3,KCNJ4,LY6G5B,MAT1A,MSMB,MYBPC2,MYH1,MYH4,NPFF,NUP62CL,PRG2,PVALB,RDH12,RPL37,RYBP,S100A8,TBC1D26,TCTN3,TNFRSF17,TNNC2,TNNI2,TNNT3,ZSWIM2"
"192","GO:0045494","photoreceptor cell maintenance",36,1,0.12,208,"0.07889","0.11135","RDH12"
"193","GO:0009620","response to fungus",36,1,0.12,209,"0.07889","0.11135","S100A8"
"194","GO:0002443","leukocyte mediated immunity",719,4,2.35,345,"0.07967","0.20805","CXCR2,HLA-G,PRG2,S100A8"
"195","GO:0010677","negative regulation of cellular carbohydrate metabolic process",37,1,0.12,211,"0.08099","0.11427","ACTN3"
"196","GO:0044364","disruption of cells of other organism",37,1,0.12,212,"0.08099","0.11427","DEFB4A"
"197","GO:0097028","dendritic cell differentiation",37,1,0.12,213,"0.08099","0.11427","HLA-G"
"198","GO:0031640","killing of cells of other organism",37,1,0.12,214,"0.08099","0.11427","DEFB4A"
"199","GO:0046676","negative regulation of insulin secretion",37,1,0.12,215,"0.08099","0.11427","NPFF"
"200","GO:0070317","negative regulation of G0 to G1 transition",38,1,0.12,217,"0.08309","0.11717","RYBP"
